"Notranje selitve po starostnih skupinah in spolu, Slovenija, letno"

"STAROSTNE SKUPINE","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"0-4 let",3149,3461,3647,2825,3243,3379,3737,3889,6512,6370,7139,7087,7196,6755,6599,6713,6550,6719,6554,5911,6932
"5-9 let",2057,2150,2437,1800,1928,1934,2426,2546,3744,3599,4110,3974,4292,4410,4687,4773,5104,5197,4688,4070,5367
"10-14 let",1588,1652,1934,1425,1514,1493,1790,1833,2645,2369,2623,2563,2725,2770,2849,2747,2948,2887,2736,2632,3707
"15-19 let",1695,1604,1722,1461,1478,1632,1850,1789,10422,4831,5650,5916,6899,7517,7163,6942,6735,6864,6659,6771,6771
"20-24 let",3480,3276,3091,2717,2657,2652,2887,2822,18948,13897,14562,15366,16870,16039,16270,15608,14963,14831,12818,13918,17023
"25-29 let",4892,5138,5503,4602,5006,5360,6173,6106,15778,15884,17404,17359,17362,17094,17393,16634,16822,16921,14596,13858,19520
"30-34 let",3399,3748,4491,3383,3918,4279,5486,5752,11869,12870,14891,15158,15256,14965,14778,14130,14548,14708,13136,11901,17393
"35-39 let",2505,2706,3329,2511,2713,2901,3454,3628,7052,8186,9373,9790,10446,10385,10410,10371,10696,11200,10691,9815,14112
"40-44 let",1886,1980,2397,1849,2038,2160,2625,2762,5271,6057,6664,6733,6989,7104,7066,6952,7423,7603,7712,7227,11217
"45-49 let",1518,1650,2043,1524,1637,1845,2147,2131,4503,5130,5567,5855,5856,5893,5705,5176,5292,5363,5339,5053,8335
"50-54 let",1108,1269,1517,1235,1359,1535,1948,1761,3888,4053,4581,4641,4730,4998,4861,4597,4680,4814,4649,4241,6759
"55-59 let",775,791,943,822,887,1083,1498,1385,3035,3116,3596,3520,3804,3957,3921,3553,3684,3733,3535,3409,5904
"60-64 let",616,559,668,552,676,647,837,780,1745,1695,2229,2247,2400,2916,2878,2600,2660,2793,2671,2430,4826
"65-69 let",441,376,435,385,412,455,624,482,1460,1308,1350,1405,1374,1669,1682,1525,1694,1820,1957,1741,3929
"70-74 let",254,241,321,306,286,322,382,346,1623,1247,1342,1192,1201,1416,1404,1158,1211,1254,1137,1041,2699
"75-79 let",217,174,201,214,225,259,324,271,2196,1733,1649,1508,1393,1458,1485,1374,1357,1358,1281,1230,1831
"80-84 let",99,105,115,148,143,165,213,198,2696,1980,1726,1731,1891,1795,1754,1732,1613,1629,1433,1317,1670
"85 + let",102,87,74,85,95,103,100,100,2861,2277,2095,1943,1984,2248,2199,2359,2479,2662,2369,2228,2228
