"Notranje selitve, statistiène regije, Slovenija, letno"

"REGIJA ODSELITVE","2000 v Pomursko","2000 v Podravsko","2000 v Koroško","2000 v Savinjsko","2000 v Zasavsko","2000 v Posavsko","2000 v Jugovzhodno Slovenijo","2000 v Osrednjeslovensko","2000 v Gorenjsko","2000 v Primorsko-notranjsko","2000 v Goriško","2000 v Obalno-kraško","2001 v Pomursko","2001 v Podravsko","2001 v Koroško","2001 v Savinjsko","2001 v Zasavsko","2001 v Posavsko","2001 v Jugovzhodno Slovenijo","2001 v Osrednjeslovensko","2001 v Gorenjsko","2001 v Primorsko-notranjsko","2001 v Goriško","2001 v Obalno-kraško","2002 v Pomursko","2002 v Podravsko","2002 v Koroško","2002 v Savinjsko","2002 v Zasavsko","2002 v Posavsko","2002 v Jugovzhodno Slovenijo","2002 v Osrednjeslovensko","2002 v Gorenjsko","2002 v Primorsko-notranjsko","2002 v Goriško","2002 v Obalno-kraško","2003 v Pomursko","2003 v Podravsko","2003 v Koroško","2003 v Savinjsko","2003 v Zasavsko","2003 v Posavsko","2003 v Jugovzhodno Slovenijo","2003 v Osrednjeslovensko","2003 v Gorenjsko","2003 v Primorsko-notranjsko","2003 v Goriško","2003 v Obalno-kraško","2004 v Pomursko","2004 v Podravsko","2004 v Koroško","2004 v Savinjsko","2004 v Zasavsko","2004 v Posavsko","2004 v Jugovzhodno Slovenijo","2004 v Osrednjeslovensko","2004 v Gorenjsko","2004 v Primorsko-notranjsko","2004 v Goriško","2004 v Obalno-kraško","2005 v Pomursko","2005 v Podravsko","2005 v Koroško","2005 v Savinjsko","2005 v Zasavsko","2005 v Posavsko","2005 v Jugovzhodno Slovenijo","2005 v Osrednjeslovensko","2005 v Gorenjsko","2005 v Primorsko-notranjsko","2005 v Goriško","2005 v Obalno-kraško","2006 v Pomursko","2006 v Podravsko","2006 v Koroško","2006 v Savinjsko","2006 v Zasavsko","2006 v Posavsko","2006 v Jugovzhodno Slovenijo","2006 v Osrednjeslovensko","2006 v Gorenjsko","2006 v Primorsko-notranjsko","2006 v Goriško","2006 v Obalno-kraško","2007 v Pomursko","2007 v Podravsko","2007 v Koroško","2007 v Savinjsko","2007 v Zasavsko","2007 v Posavsko","2007 v Jugovzhodno Slovenijo","2007 v Osrednjeslovensko","2007 v Gorenjsko","2007 v Primorsko-notranjsko","2007 v Goriško","2007 v Obalno-kraško","2008 v Pomursko","2008 v Podravsko","2008 v Koroško","2008 v Savinjsko","2008 v Zasavsko","2008 v Posavsko","2008 v Jugovzhodno Slovenijo","2008 v Osrednjeslovensko","2008 v Gorenjsko","2008 v Primorsko-notranjsko","2008 v Goriško","2008 v Obalno-kraško","2009 v Pomursko","2009 v Podravsko","2009 v Koroško","2009 v Savinjsko","2009 v Zasavsko","2009 v Posavsko","2009 v Jugovzhodno Slovenijo","2009 v Osrednjeslovensko","2009 v Gorenjsko","2009 v Primorsko-notranjsko","2009 v Goriško","2009 v Obalno-kraško","2010 v Pomursko","2010 v Podravsko","2010 v Koroško","2010 v Savinjsko","2010 v Zasavsko","2010 v Posavsko","2010 v Jugovzhodno Slovenijo","2010 v Osrednjeslovensko","2010 v Gorenjsko","2010 v Primorsko-notranjsko","2010 v Goriško","2010 v Obalno-kraško","2011 v Pomursko","2011 v Podravsko","2011 v Koroško","2011 v Savinjsko","2011 v Zasavsko","2011 v Posavsko","2011 v Jugovzhodno Slovenijo","2011 v Osrednjeslovensko","2011 v Gorenjsko","2011 v Primorsko-notranjsko","2011 v Goriško","2011 v Obalno-kraško","2012 v Pomursko","2012 v Podravsko","2012 v Koroško","2012 v Savinjsko","2012 v Zasavsko","2012 v Posavsko","2012 v Jugovzhodno Slovenijo","2012 v Osrednjeslovensko","2012 v Gorenjsko","2012 v Primorsko-notranjsko","2012 v Goriško","2012 v Obalno-kraško","2013 v Pomursko","2013 v Podravsko","2013 v Koroško","2013 v Savinjsko","2013 v Zasavsko","2013 v Posavsko","2013 v Jugovzhodno Slovenijo","2013 v Osrednjeslovensko","2013 v Gorenjsko","2013 v Primorsko-notranjsko","2013 v Goriško","2013 v Obalno-kraško","2014 v Pomursko","2014 v Podravsko","2014 v Koroško","2014 v Savinjsko","2014 v Zasavsko","2014 v Posavsko","2014 v Jugovzhodno Slovenijo","2014 v Osrednjeslovensko","2014 v Gorenjsko","2014 v Primorsko-notranjsko","2014 v Goriško","2014 v Obalno-kraško","2015 v Pomursko","2015 v Podravsko","2015 v Koroško","2015 v Savinjsko","2015 v Zasavsko","2015 v Posavsko","2015 v Jugovzhodno Slovenijo","2015 v Osrednjeslovensko","2015 v Gorenjsko","2015 v Primorsko-notranjsko","2015 v Goriško","2015 v Obalno-kraško","2016 v Pomursko","2016 v Podravsko","2016 v Koroško","2016 v Savinjsko","2016 v Zasavsko","2016 v Posavsko","2016 v Jugovzhodno Slovenijo","2016 v Osrednjeslovensko","2016 v Gorenjsko","2016 v Primorsko-notranjsko","2016 v Goriško","2016 v Obalno-kraško","2017 v Pomursko","2017 v Podravsko","2017 v Koroško","2017 v Savinjsko","2017 v Zasavsko","2017 v Posavsko","2017 v Jugovzhodno Slovenijo","2017 v Osrednjeslovensko","2017 v Gorenjsko","2017 v Primorsko-notranjsko","2017 v Goriško","2017 v Obalno-kraško","2018 v Pomursko","2018 v Podravsko","2018 v Koroško","2018 v Savinjsko","2018 v Zasavsko","2018 v Posavsko","2018 v Jugovzhodno Slovenijo","2018 v Osrednjeslovensko","2018 v Gorenjsko","2018 v Primorsko-notranjsko","2018 v Goriško","2018 v Obalno-kraško","2019 v Pomursko","2019 v Podravsko","2019 v Koroško","2019 v Savinjsko","2019 v Zasavsko","2019 v Posavsko","2019 v Jugovzhodno Slovenijo","2019 v Osrednjeslovensko","2019 v Gorenjsko","2019 v Primorsko-notranjsko","2019 v Goriško","2019 v Obalno-kraško","2020 v Pomursko","2020 v Podravsko","2020 v Koroško","2020 v Savinjsko","2020 v Zasavsko","2020 v Posavsko","2020 v Jugovzhodno Slovenijo","2020 v Osrednjeslovensko","2020 v Gorenjsko","2020 v Primorsko-notranjsko","2020 v Goriško","2020 v Obalno-kraško"
"iz Pomurske",-,142,9,16,2,7,2,73,13,3,12,10,-,170,7,18,1,4,8,76,12,0,9,8,-,169,5,21,1,7,12,98,4,4,1,15,-,138,4,26,2,2,9,106,9,1,7,11,-,164,5,19,3,6,3,81,14,6,6,20,-,170,3,19,3,6,6,109,7,3,4,12,-,199,9,21,2,4,12,115,14,10,2,5,-,192,4,24,11,5,9,117,10,10,7,16,-,1595,31,141,9,11,74,1164,67,14,32,75,-,991,36,123,7,15,72,768,54,12,24,75,-,1088,36,112,16,21,31,675,91,13,32,76,-,1053,38,102,10,31,55,717,70,14,33,82,-,1155,40,128,13,17,37,790,75,14,31,74,-,1195,24,133,10,37,45,789,62,14,24,108,-,1211,29,146,9,33,33,771,61,20,25,55,-,1118,30,128,15,23,34,737,61,14,28,70,-,1096,29,135,12,27,44,680,61,20,34,69,-,1153,31,126,7,15,29,670,68,17,29,82,-,1103,33,104,6,25,36,582,63,13,20,57,-,884,25,115,9,23,26,527,48,8,28,49,-,1286,28,146,15,18,48,766,81,9,38,93
"iz Podravske",141,-,38,140,5,12,15,158,23,10,19,46,142,-,44,165,3,21,30,189,22,1,12,50,172,-,51,161,10,17,16,193,21,6,13,35,128,-,61,143,5,20,22,195,25,10,11,52,153,-,58,136,5,13,26,191,25,8,9,37,190,-,66,127,9,12,20,219,33,7,20,34,216,-,70,183,15,13,15,232,50,10,11,51,177,-,46,174,7,9,36,248,24,12,9,50,1426,-,701,1548,63,206,220,1668,148,36,122,232,853,-,434,1100,84,212,197,1392,167,59,112,307,1077,-,552,1452,68,224,206,1334,225,51,191,264,1115,-,600,1513,81,246,189,1247,210,51,157,293,1112,-,560,1600,74,254,193,1581,208,41,106,277,1072,-,516,1526,78,235,197,1573,194,43,95,334,1156,-,606,1724,92,268,173,1499,203,40,114,297,1191,-,598,1680,117,293,203,1568,212,53,126,288,1159,-,559,1722,128,287,238,1535,195,48,112,287,1163,-,477,1628,85,256,179,1493,182,58,100,319,1002,-,389,1437,75,189,173,1314,175,60,95,258,1080,-,421,1578,94,206,197,1327,194,50,135,247,1278,-,598,1800,131,257,192,1727,268,59,178,401
"iz Koroške",8,60,-,66,2,5,9,61,11,4,4,11,8,61,-,67,0,4,0,53,5,1,9,5,9,72,-,62,3,2,7,73,11,6,5,10,14,80,-,48,2,5,8,69,8,2,4,2,6,76,-,52,3,5,9,62,11,0,5,10,8,120,-,75,5,4,3,76,3,1,6,17,12,99,-,87,1,4,10,94,16,4,6,27,9,127,-,101,3,8,7,105,12,2,0,9,45,923,-,280,4,14,36,685,40,12,8,56,30,608,-,249,7,13,25,499,56,4,18,61,54,687,-,234,7,21,33,518,48,8,17,79,40,623,-,267,10,16,35,511,60,16,20,89,42,673,-,255,5,16,28,599,55,7,29,88,47,689,-,263,7,24,35,619,43,8,21,95,28,583,-,273,4,34,27,539,45,8,21,70,36,636,-,279,5,24,25,518,42,7,15,66,25,590,-,291,10,21,38,528,36,9,18,66,40,525,-,290,8,23,23,526,35,14,16,83,27,487,-,253,8,19,28,522,41,3,21,75,41,514,-,250,10,20,26,425,33,16,14,37,52,635,-,382,17,30,44,660,57,22,32,122
"iz Savinjske",16,187,79,-,43,62,19,222,22,10,15,48,25,194,71,-,35,69,17,216,18,5,13,25,24,209,68,-,41,53,13,212,35,14,13,35,17,193,62,-,46,51,21,237,43,8,12,46,19,204,58,-,41,65,30,251,25,3,7,54,18,200,56,-,24,40,40,295,20,4,12,47,29,233,61,-,31,59,40,347,37,13,16,72,24,257,68,-,43,61,37,332,45,13,21,62,160,1910,269,-,157,276,160,2295,187,40,83,202,131,1537,238,-,115,248,181,1865,219,73,111,292,113,1711,241,-,149,296,244,1877,225,61,108,269,128,1703,251,-,147,285,201,1967,222,68,112,319,149,1905,188,-,181,307,211,2185,229,66,120,278,133,1855,248,-,146,310,208,2309,217,62,138,380,188,1885,201,-,173,272,229,2208,223,53,109,292,119,1692,211,-,152,336,192,1952,221,63,92,219,128,1612,240,-,176,329,198,1996,189,70,89,267,112,1640,245,-,179,320,210,2076,182,47,94,268,114,1689,207,-,194,259,212,1903,206,59,79,258,157,1744,189,-,156,277,182,1944,189,68,98,269,210,2157,315,-,277,348,289,2705,342,70,152,374
"iz Zasavske",0,13,1,65,-,31,2,104,8,2,8,9,1,7,0,70,-,30,10,145,12,4,2,7,0,4,1,76,-,22,9,118,24,0,3,8,2,19,0,57,-,20,14,121,16,4,2,23,3,14,6,65,-,13,13,134,7,4,1,8,2,11,6,71,-,19,8,121,7,1,3,12,4,8,4,101,-,25,20,158,16,4,6,18,12,30,1,103,-,28,7,167,22,2,1,8,13,88,6,205,-,66,65,515,52,13,23,66,10,85,6,226,-,69,36,454,57,14,23,80,14,91,10,213,-,58,31,515,55,10,20,94,19,91,9,236,-,53,25,476,56,14,27,43,18,140,5,264,-,62,28,599,45,13,10,62,12,116,7,221,-,69,43,552,72,9,20,66,25,114,4,209,-,67,32,516,37,8,15,51,23,118,5,233,-,104,63,848,77,16,20,76,14,108,10,197,-,87,66,867,65,13,15,77,15,114,12,212,-,94,85,828,79,7,30,80,6,112,18,193,-,94,92,762,61,20,27,78,8,97,10,161,-,102,90,651,72,6,22,78,19,150,19,329,-,123,115,992,199,24,37,116
"iz Posavske",2,25,0,48,4,-,78,82,15,4,8,11,7,16,3,61,10,-,75,73,15,1,7,7,5,20,3,56,5,-,63,82,14,4,5,12,11,26,1,52,10,-,76,92,15,1,2,14,6,24,1,42,7,-,104,79,17,6,6,25,5,14,5,36,2,-,69,82,10,0,7,10,4,26,1,54,4,-,62,124,12,1,5,12,4,30,1,69,9,-,78,116,10,4,7,16,11,293,7,246,30,-,333,936,73,13,31,67,12,207,14,179,17,-,273,693,41,15,34,100,21,251,25,206,33,-,269,694,64,23,30,79,29,270,21,283,34,-,306,652,74,22,30,109,14,280,15,243,45,-,330,788,69,13,36,66,26,278,27,235,28,-,333,858,75,23,47,69,33,288,12,251,62,-,297,760,111,14,28,81,27,276,21,285,72,-,337,731,81,13,31,84,16,281,25,324,91,-,329,815,86,14,35,81,30,265,26,342,77,-,355,784,68,19,40,62,27,251,11,299,61,-,364,739,69,21,37,67,31,235,13,260,79,-,341,746,74,19,39,75,27,313,25,376,83,-,425,1005,142,28,54,100
"iz Jugovzhodne Slovenije",7,21,2,19,12,62,-,235,16,15,8,29,4,8,2,20,16,75,-,279,27,14,12,26,7,19,1,20,3,83,-,327,20,5,14,14,8,24,4,35,0,82,-,245,23,12,13,33,3,10,6,22,1,62,-,307,29,21,9,24,3,22,2,22,6,115,-,291,29,12,14,18,0,17,2,29,14,93,-,420,25,11,10,25,12,19,6,29,11,119,-,427,36,20,11,23,25,181,18,140,27,332,-,2432,118,59,48,123,37,151,36,157,31,282,-,1808,143,49,71,164,34,170,28,196,23,267,-,1973,181,60,84,179,60,219,34,224,24,344,-,2086,206,66,85,173,31,217,44,220,26,316,-,2438,181,67,69,166,46,240,38,189,21,282,-,2370,149,58,73,215,55,227,29,204,36,392,-,2293,194,77,76,189,41,208,31,198,63,327,-,2105,175,49,76,172,41,233,33,195,78,331,-,2063,192,65,77,156,38,189,24,198,71,316,-,2049,163,75,93,184,28,204,34,241,74,367,-,1905,152,78,63,143,43,236,29,198,57,338,-,1890,161,64,57,139,53,282,37,270,107,467,-,2591,423,87,100,232
"iz Osrednjeslovenske",46,96,15,189,156,55,349,-,436,171,82,166,41,84,13,171,131,78,326,-,462,177,105,177,76,106,18,182,127,98,336,-,448,168,104,198,51,118,24,132,110,69,328,-,390,177,72,206,48,139,12,184,110,75,310,-,483,173,80,194,32,144,12,215,123,74,352,-,483,200,69,196,83,157,31,247,171,78,406,-,592,163,80,247,69,182,20,251,149,112,347,-,675,181,85,216,690,1168,350,1566,482,522,1979,-,1832,986,1251,1158,545,1057,306,1413,317,489,1695,-,1724,663,965,1191,669,1122,353,1814,344,616,1887,-,1919,769,1164,1286,740,1273,430,1961,409,658,1999,-,2038,744,1335,1369,735,1246,412,1919,413,726,2012,-,1970,687,1331,1224,680,1463,406,1696,433,592,1972,-,2180,685,1226,1429,714,1473,474,1971,441,738,2124,-,2211,742,1323,1411,681,1448,481,1914,767,747,2127,-,2152,704,1331,1384,721,1358,461,1897,840,774,2011,-,2158,728,1277,1375,635,1406,471,1945,881,759,1951,-,2158,709,1314,1393,508,1224,336,1712,736,637,1786,-,1796,682,1164,1263,560,1262,369,1790,706,663,1801,-,1962,641,1088,1171,941,1780,523,2558,1026,1040,2879,-,5745,997,1684,2633
"iz Gorenjske",16,45,11,23,7,17,31,314,-,15,32,36,21,43,3,62,12,28,35,465,-,17,41,49,9,36,6,39,10,13,40,481,-,13,42,57,22,49,7,46,11,14,59,442,-,9,24,41,27,33,4,39,7,16,42,465,-,21,43,43,20,37,10,34,17,28,64,521,-,17,32,49,17,58,5,47,18,44,42,661,-,23,45,52,14,50,7,86,15,20,53,697,-,35,75,71,84,241,49,231,62,62,216,2040,-,58,264,228,99,214,43,215,25,78,214,1903,-,78,207,277,97,234,39,232,33,72,210,2095,-,82,212,255,137,211,44,259,33,74,178,2179,-,68,227,232,112,232,42,281,55,105,197,2417,-,66,206,226,90,247,43,212,53,95,211,2321,-,77,232,296,104,222,38,263,41,95,202,2345,-,97,252,270,83,211,35,257,64,84,188,2304,-,72,250,265,77,200,35,217,61,81,198,2202,-,95,215,245,80,231,29,249,72,78,199,2275,-,74,216,237,95,205,37,198,58,82,160,2065,-,64,188,230,91,205,21,222,65,105,189,1921,-,73,173,203,135,319,68,338,106,139,337,3134,-,91,321,410
"iz Primorsko-notranjske",3,3,0,12,3,2,5,77,8,-,12,45,2,4,0,6,1,1,16,114,15,-,14,44,1,4,1,3,0,11,5,104,5,-,25,53,0,17,1,12,4,3,8,110,8,-,16,60,2,6,0,14,2,1,12,108,12,-,17,38,2,14,0,4,2,2,13,130,17,-,20,44,2,14,0,6,8,4,17,155,10,-,18,68,4,15,0,11,1,5,22,181,12,-,20,71,9,47,6,54,5,14,74,967,74,-,127,323,10,47,16,54,5,21,54,698,58,-,90,334,4,66,7,66,4,31,56,786,55,-,134,294,11,46,8,76,9,17,73,811,55,-,123,287,17,53,9,49,14,14,69,807,71,-,123,279,12,67,7,58,4,10,62,777,72,-,121,335,15,68,8,70,5,15,66,743,77,-,109,277,10,53,2,69,16,19,57,781,72,-,114,281,14,58,9,73,10,19,62,758,80,-,99,255,13,74,14,65,9,26,89,784,76,-,127,309,26,62,5,71,17,18,66,713,56,-,102,281,17,66,5,52,19,22,53,638,67,-,138,240,12,70,23,65,21,23,106,961,76,-,173,370
